1505	10391
1507	17482
1515	33879
1520	11165
1524	48650
1525	2230
1527	1780
1541	2867
1563	26230
1564	18978
1568	22974
1572	31141
1574	14910
1575	24789
1579	32517
1581	84740
1582	21963
1584	37836
1587	24161
1588	18387
1589	9989
1590	35330
1592	24685
1593	14634
1594	4146
1595	9759
1597	3858
1598	22089
1600	23587
1602	2273
1603	17389
1605	4688
1606	8546
1607	47283
1610	3284
1611	9020
1612	13755
1614	4604
1618	7002
1619	11967
1620	35783
1621	10725
1623	12667
1624	26597
1625	15954
1626	9044
1628	3572
1629	37413
1630	28135
1631	82690
1632	11297
1634	14090
1635	39016
1636	6662
1637	54151
1638	50363
1640	17344
1641	10855
1642	28031
1643	30521
1644	83130
1645	41722
1646	11985
1647	36591
1648	48974
1649	32159
1650	31132
1651	37423
1652	26470
1653	43688
1654	11071
1655	42454
1656	78937
1657	42178
1658	98904
1659	66669
1660	29228
1661	22854
1662	45371
1663	22313
1664	39090
1665	32615
1666	17765
1667	66359
1668	77128
1669	42343
1670	61897
1671	25889
1672	49697
1673	84774
1674	22278
1675	109436
1676	126116
1677	71205
1678	110069
1679	105325
1680	95018
1681	166480
1682	148196
1683	171210
1684	103793
1685	141086
1686	91959
1687	85061
1688	146182
1689	91131
1690	62783
1691	44266
1692	101589
1693	80082
1694	116116
1695	71779
1696	80692
1697	72210
1698	162128
1699	134900
1700	162414
1701	206881
1702	208218
1703	168066
1704	188136
1705	206448
1706	221696
1707	205384
1708	241379
1709	171349
1710	235544
1711	245322
1712	185873
1713	201443
1714	226161
1715	243757
1716	194113
1717	210155
1718	207585
1719	185058
1720	259612
1721	224255
1722	271767
1723	267205
1724	278899
1725	343310
1726	338514
1727	373127
1728	335346
1729	314545
1730	352301
1731	332065
1732	293867
1733	214010
1734	290062
1735	261375
1736	257020
1737	388869
1738	307602
1739	308348
1740	336934
1741	248505
1742	300849
1743	263976
1744	314680
1745	251453
1746	258047
1747	368432
1748	349559
1749	313358
1750	427531
1751	410875
1752	356539
1753	410240
1754	397342
1755	407321
1756	261025
1757	335850
1758	371864
1759	443762
1760	353267
1761	378765
1762	330953
1763	397762
1764	402915
1765	367580
1766	508583
1767	411675
1768	484156
1769	441647
1770	441631
1771	386288
1772	393997
1773	399272
1774	404813
1775	491194
1776	547144
1777	474321
1778	444136
1779	408242
1780	418444
1781	476126
1782	491106
1783	455777
1784	472897
1785	489000
1786	540905
1787	608358
1788	649483
1789	580400
1790	597787
1791	642456
1792	669240
1793	631253
1794	676048
1795	703996
1796	741635
1797	721890
1798	688227
1799	708620
1800	847881
1801	1023710
1802	974064
1803	1008634
1804	1068889
1805	1177369
1806	1107230
1807	1189368
1808	1104031
1809	1192925
1810	1234648
1811	1339144
1812	1339784
1813	1244290
1814	1375788
1815	1227404
1816	1230686
1817	1301092
1818	1408280
1819	1343704
1820	1453092
1821	1310060
1822	1527082
1823	1455700
1824	1631189
1825	1614644
1826	1428895
1827	1402435
1828	1439629
1829	1547220
1830	1546252
1831	1563018
1832	1518839
1833	1422112
1834	1533678
1835	1625215
1836	1660286
1837	1514251
1838	1608445
1839	1783167
1840	1843316
1841	1788881
1842	1648835
1843	1790013
1844	1891254
1845	1956763
1846	2022559
1847	2028133
1848	2014631
1849	1999525
1850	2111309
1851	2199546
1852	2212302
1853	2287565
1854	2502167
1855	2351107
1856	2344011
1857	2305069
1858	2282726
1859	2379407
1860	2374546
1861	2090565
1862	1907990
1863	1992997
1864	2223225
1865	2139156
1866	2266849
1867	2235330
1868	2327019
1869	2375505
1870	2369835
1871	2376155
1872	2435188
1873	2453923
1874	2520599
1875	2594634
1876	2686158
1877	2635632
1878	2628008
1879	2597663
1880	2859445
1881	2817885
1882	2985965
1883	3083663
1884	3030451
1885	2989810
1886	2821872
1887	2834434
1888	2917649
1889	2899952
1890	2928333
1891	3025767
1892	3140380
1893	3131755
1894	2947781
1895	3265961
1896	3343710
1897	3258058
1898	3371873
1899	3480098
1900	3677008
1901	3541385
1902	3751389
1903	3582720
1904	3768701
1905	3774279
1906	3897879
1907	3919892
1908	3870347
1909	3718880
1910	3871516
1911	3793528
1912	4019463
1913	3786816
1914	3784183
1915	3545927
1916	3464307
1917	3446789
1918	3177172
1919	3418608
1920	3888342
1921	3673434
1922	3989725
1923	3902399
1924	3798077
1925	3963869
1926	3914561
1927	4249357
1928	4256038
1929	4080341
1930	4240387
1931	4207251
1932	3987808
1933	3795326
1934	3960270
1935	4249247
1936	4340010
1937	4350660
1938	4429571
1939	4378622
1940	4286997
1941	4030288
1942	3950259
1943	3628860
1944	3466527
1945	3740554
1946	4314196
1947	4712141
1948	4975816
1949	5228303
1950	5211558
1951	5281121
1952	5334143
1953	5382674
1954	5412540
1955	5597282
1956	5774394
1957	5988940
1958	6168080
1959	6258441
1960	6631413
1961	6942040
1962	7285406
1963	7480995
1964	7639544
1965	7856181
1966	8196963
1967	8424833
1968	8712785
1969	8895912
1970	8988519
1971	9011354
1972	9120515
1973	9007400
1974	9144933
1975	9202875
1976	9359753
1977	9505380
1978	9586881
1979	9701207
1980	9728696
1981	9772719
1982	9956456
1983	10091101
1984	10272568
1985	10391964
1986	10613663
1987	10707271
1988	10895507
1989	11104458
1990	11324463
1991	11284376
1992	11607140
1993	11575506
1994	11821701
1995	11900886
1996	12239163
1997	12221306
1998	12371200
1999	12611785
2000	12877237
2001	12899663
2002	13031738
2003	13342137
2004	13571514
2005	13340595
2006	13654134
2007	13567734
2008	13963158
avg1505	7.648831
avg1507	7.526599
avg1515	8.547360
avg1520	8.449082
avg1524	8.581151
avg1525	7.811211
avg1527	7.901124
avg1541	7.808859
avg1563	9.232749
avg1564	8.049689
avg1568	8.024419
avg1572	8.841752
