veh_num,time_str,longitude,latitude
v1,2013-01-14T21:05:01Z,-83.10681729,42.49086618
v2,2013-01-14T21:05:01Z,-83.10680155,42.49076144
v1,2013-01-14T21:05:02Z,-83.10666615,42.49086604
v2,2013-01-14T21:05:02Z,-83.10666725,42.49076179
v1,2013-01-14T21:05:03Z,-83.10651500,42.49086591
v2,2013-01-14T21:05:03Z,-83.10653294,42.49076213
v1,2013-01-14T21:05:04Z,-83.10636386,42.49086577
v2,2013-01-14T21:05:04Z,-83.10639863,42.49076247
v1,2013-01-14T21:05:05Z,-83.10621272,42.49086563
v2,2013-01-14T21:05:05Z,-83.10626433,42.49076282
v1,2013-01-14T21:05:06Z,-83.10606157,42.49086549
v2,2013-01-14T21:05:06Z,-83.10613002,42.49076316
v1,2013-01-14T21:05:07Z,-83.10591043,42.49086535
v2,2013-01-14T21:05:07Z,-83.10599571,42.49076350
v1,2013-01-14T21:05:08Z,-83.10575929,42.49086522
v2,2013-01-14T21:05:08Z,-83.10586141,42.49076385
v1,2013-01-14T21:05:09Z,-83.10560815,42.49086508
v2,2013-01-14T21:05:09Z,-83.10572710,42.49076419
v1,2013-01-14T21:05:10Z,-83.10545700,42.49086494
v2,2013-01-14T21:05:10Z,-83.10559279,42.49076454
v1,2013-01-14T21:05:11Z,-83.10530586,42.49086480
v2,2013-01-14T21:05:11Z,-83.10545849,42.49076488
v1,2013-01-14T21:05:12Z,-83.10515472,42.49086466
v2,2013-01-14T21:05:12Z,-83.10532418,42.49076522
v1,2013-01-14T21:05:13Z,-83.10500357,42.49086453
v2,2013-01-14T21:05:13Z,-83.10518987,42.49076557
v1,2013-01-14T21:05:14Z,-83.10485243,42.49086439
v2,2013-01-14T21:05:14Z,-83.10505557,42.49076591
v1,2013-01-14T21:05:15Z,-83.10470129,42.49086425
v2,2013-01-14T21:05:15Z,-83.10492126,42.49076625
v1,2013-01-14T21:05:16Z,-83.10455014,42.49086411
v2,2013-01-14T21:05:16Z,-83.10478696,42.49076660
v1,2013-01-14T21:05:17Z,-83.10439900,42.49086397
v2,2013-01-14T21:05:17Z,-83.10465265,42.49076694
v1,2013-01-14T21:05:18Z,-83.10424786,42.49086384
v2,2013-01-14T21:05:18Z,-83.10451834,42.49076729
v1,2013-01-14T21:05:19Z,-83.10409672,42.49086370
v2,2013-01-14T21:05:19Z,-83.10438404,42.49076763
v1,2013-01-14T21:05:20Z,-83.10394557,42.49086356
v2,2013-01-14T21:05:20Z,-83.10424973,42.49076797
v1,2013-01-14T21:05:21Z,-83.10379443,42.49086342
v2,2013-01-14T21:05:21Z,-83.10411542,42.49076832
v1,2013-01-14T21:05:22Z,-83.10364329,42.49086328
v2,2013-01-14T21:05:22Z,-83.10398112,42.49076866
v1,2013-01-14T21:05:23Z,-83.10349214,42.49086315
v2,2013-01-14T21:05:23Z,-83.10384681,42.49076901
v1,2013-01-14T21:05:24Z,-83.10334100,42.49086301
v2,2013-01-14T21:05:24Z,-83.10371250,42.49076935
v1,2013-01-14T21:05:25Z,-83.10318986,42.49086287
v2,2013-01-14T21:05:25Z,-83.10357820,42.49076969
v1,2013-01-14T21:05:26Z,-83.10303872,42.49086273
v2,2013-01-14T21:05:26Z,-83.10344389,42.49077004
v1,2013-01-14T21:05:27Z,-83.10288757,42.49086259
v2,2013-01-14T21:05:27Z,-83.10330958,42.49077038
v1,2013-01-14T21:05:28Z,-83.10273643,42.49086246
v2,2013-01-14T21:05:28Z,-83.10317528,42.49077072
v1,2013-01-14T21:05:29Z,-83.10258529,42.49086232
v2,2013-01-14T21:05:29Z,-83.10304097,42.49077107
v1,2013-01-14T21:05:30Z,-83.10243414,42.49086218
v2,2013-01-14T21:05:30Z,-83.10290666,42.49077141
v1,2013-01-14T21:05:31Z,-83.10228300,42.49086204
v2,2013-01-14T21:05:31Z,-83.10277236,42.49077176
v1,2013-01-14T21:05:32Z,-83.10213186,42.49086190
v2,2013-01-14T21:05:32Z,-83.10263805,42.49077210
v1,2013-01-14T21:05:33Z,-83.10198071,42.49086177
v2,2013-01-14T21:05:33Z,-83.10250375,42.49077244
v1,2013-01-14T21:05:34Z,-83.10182957,42.49086163
v2,2013-01-14T21:05:34Z,-83.10236944,42.49077279
v1,2013-01-14T21:05:35Z,-83.10167843,42.49086149
v2,2013-01-14T21:05:35Z,-83.10223513,42.49077313
v1,2013-01-14T21:05:36Z,-83.10152729,42.49086135
v2,2013-01-14T21:05:36Z,-83.10210083,42.49077347
v1,2013-01-14T21:05:37Z,-83.10137614,42.49086121
v2,2013-01-14T21:05:37Z,-83.10196652,42.49077382
v1,2013-01-14T21:05:38Z,-83.10122500,42.49086108
v2,2013-01-14T21:05:38Z,-83.10183221,42.49077416
v1,2013-01-14T21:05:39Z,-83.10107386,42.49086094
v2,2013-01-14T21:05:39Z,-83.10169791,42.49077451
v1,2013-01-14T21:05:40Z,-83.10092271,42.49086080
v2,2013-01-14T21:05:40Z,-83.10156360,42.49077485
v1,2013-01-14T21:05:41Z,-83.10077157,42.49086066
v2,2013-01-14T21:05:41Z,-83.10142929,42.49077519
v1,2013-01-14T21:05:42Z,-83.10062043,42.49086052
v2,2013-01-14T21:05:42Z,-83.10129499,42.49077554
v1,2013-01-14T21:05:43Z,-83.10046929,42.49086039
v2,2013-01-14T21:05:43Z,-83.10116068,42.49077588
v1,2013-01-14T21:05:44Z,-83.10031814,42.49086025
v2,2013-01-14T21:05:44Z,-83.10102637,42.49077622
v1,2013-01-14T21:05:45Z,-83.10016700,42.49086011
v2,2013-01-14T21:05:45Z,-83.10089207,42.49077657
v1,2013-01-14T21:05:46Z,-83.10001586,42.49085997
v2,2013-01-14T21:05:46Z,-83.10075776,42.49077691
v1,2013-01-14T21:05:47Z,-83.09986471,42.49085984
